Series id,Year,Period,Value,MoYr
LNS14000000,1948,Jan,3.4,1948-01-01
LNS14000000,1948,Feb,3.8,1948-02-01
LNS14000000,1948,Mar,4.0,1948-03-01
LNS14000000,1948,Apr,3.9,1948-04-01
LNS14000000,1948,May,3.5,1948-05-01
LNS14000000,1948,Jun,3.6,1948-06-01
LNS14000000,1948,Jul,3.6,1948-07-01
LNS14000000,1948,Aug,3.9,1948-08-01
LNS14000000,1948,Sep,3.8,1948-09-01
LNS14000000,1948,Oct,3.7,1948-10-01
LNS14000000,1948,Nov,3.8,1948-11-01
LNS14000000,1948,Dec,4.0,1948-12-01
LNS14000000,1949,Jan,4.3,1949-01-01
LNS14000000,1949,Feb,4.7,1949-02-01
LNS14000000,1949,Mar,5.0,1949-03-01
LNS14000000,1949,Apr,5.3,1949-04-01
LNS14000000,1949,May,6.1,1949-05-01
LNS14000000,1949,Jun,6.2,1949-06-01
LNS14000000,1949,Jul,6.7,1949-07-01
LNS14000000,1949,Aug,6.8,1949-08-01
LNS14000000,1949,Sep,6.6,1949-09-01
LNS14000000,1949,Oct,7.9,1949-10-01
LNS14000000,1949,Nov,6.4,1949-11-01
LNS14000000,1949,Dec,6.6,1949-12-01
LNS14000000,1950,Jan,6.5,1950-01-01
LNS14000000,1950,Feb,6.4,1950-02-01
LNS14000000,1950,Mar,6.3,1950-03-01
LNS14000000,1950,Apr,5.8,1950-04-01
LNS14000000,1950,May,5.5,1950-05-01
LNS14000000,1950,Jun,5.4,1950-06-01
LNS14000000,1950,Jul,5.0,1950-07-01
LNS14000000,1950,Aug,4.5,1950-08-01
LNS14000000,1950,Sep,4.4,1950-09-01
LNS14000000,1950,Oct,4.2,1950-10-01
LNS14000000,1950,Nov,4.2,1950-11-01
LNS14000000,1950,Dec,4.3,1950-12-01
LNS14000000,1951,Jan,3.7,1951-01-01
LNS14000000,1951,Feb,3.4,1951-02-01
LNS14000000,1951,Mar,3.4,1951-03-01
LNS14000000,1951,Apr,3.1,1951-04-01
LNS14000000,1951,May,3.0,1951-05-01
LNS14000000,1951,Jun,3.2,1951-06-01
